mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
57,2,target,57,57,(4;7;1),WS 1 (Port 1),2513,2648,2648.0,30.0 + 65.0 + 30.0 + 10.0
58,0,return,57,57,WS 1 (Port 1),(2;1;1),2654,2739,2739.0,30.0 + 25.0 + 30.0
59,1,target,59,59,(4;0;6),WS 1 (Port 1),2604,2704,2704.0,30.0 + 30.0 + 30.0 + 10.0
60,1,return,59,59,WS 1 (Port 1),(2;1;0),2710,2795,2795.0,30.0 + 25.0 + 30.0
61,0,reshuffle,59,63,(2;1;0),(0;8;3),2795,2900,2900.0,30.0 + 45.0 + 30.0
62,1,reshuffle,57,63,(2;1;1),(0;8;2),2825,2930,2930.0,30.0 + 45.0 + 30.0
63,2,reshuffle,44,63,(2;1;2),(0;8;1),2855,2960,2960.0,30.0 + 45.0 + 30.0
64,0,target,63,63,(2;1;3),WS 1 (Port 1),2945,3040,3040.0,30.0 + 25.0 + 30.0 + 10.0
65,0,return,63,63,WS 1 (Port 1),(2;1;3),3046,3131,3131.0,30.0 + 25.0 + 30.0
66,1,target,71,71,(2;10;5),WS 1 (Port 1),2950,3090,3090.0,30.0 + 70.0 + 30.0 + 10.0
67,1,return,71,71,WS 1 (Port 1),(2;1;2),3096,3181,3181.0,30.0 + 25.0 + 30.0
68,2,reshuffle,198,72,(5;4;5),(0;8;0),3005,3110,3110.0,30.0 + 45.0 + 30.0
69,2,target,72,72,(5;4;6),WS 1 (Port 1),3155,3280,3280.0,30.0 + 55.0 + 30.0 + 10.0
70,0,return,72,72,WS 1 (Port 1),(2;1;1),3284,3369,3369.0,30.0 + 25.0 + 30.0
