mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,194,136,(4;6;3),(0;2;4),50,150,150.0,30.0 + 40.0 + 30.0
2,1,target,136,136,(4;6;4),WS 1 (Port 1),80,210,210.0,30.0 + 60.0 + 30.0 + 10.0
3,0,return,136,136,WS 1 (Port 1),(1;0;1),226,301,301.0,30.0 + 15.0 + 30.0
4,2,target,301,301,(3;2;2),WS 1 (Port 2),25,130,130.0,30.0 + 35.0 + 30.0 + 10.0
5,1,return,301,301,WS 1 (Port 2),(1;0;0),200,331,331.0,30.0 + 71.0 + 30.0
6,2,target,368,368,(2;2;0),WS 1 (Port 2),150,250,250.0,30.0 + 30.0 + 30.0 + 10.0
7,2,return,368,368,WS 1 (Port 2),(0;2;3),258,338,338.0,30.0 + 20.0 + 30.0
8,0,target,87,87,(4;3;0),WS 1 (Port 1),331,446,446.0,30.0 + 45.0 + 30.0 + 10.0
9,0,return,87,87,WS 1 (Port 1),(0;2;2),448,528,528.0,30.0 + 20.0 + 30.0
10,1,target,114,114,(4;10;1),WS 1 (Port 1),396,546,546.0,30.0 + 80.0 + 30.0 + 10.0
11,0,return,114,114,WS 1 (Port 1),(0;2;1),554,634,634.0,30.0 + 20.0 + 30.0
