mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,302,302,(0;2;5),WS 1 (Port 1),10,100,100.0,30.0 + 20.0 + 30.0 + 10.0
2,0,return,302,302,WS 1 (Port 1),(1;0;1),102,177,177.0,30.0 + 15.0 + 30.0
3,1,target,357,357,(3;7;5),WS 1 (Port 1),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
4,1,return,357,357,WS 1 (Port 1),(1;0;0),184,259,259.0,30.0 + 15.0 + 30.0
5,2,target,3,3,(2;5;2),WS 1 (Port 2),35,150,150.0,30.0 + 45.0 + 30.0 + 10.0
6,2,return,3,3,WS 1 (Port 2),(0;2;5),156,236,236.0,30.0 + 20.0 + 30.0
7,0,target,56,56,(0;0;0),WS 1 (Port 1),182,262,262.0,30.0 + 10.0 + 30.0 + 10.0
8,0,return,56,56,WS 1 (Port 1),(0;0;0),270,340,340.0,30.0 + 10.0 + 30.0
9,2,target,71,71,(2;10;5),WS 1 (Port 1),286,426,426.0,30.0 + 70.0 + 30.0 + 10.0
10,0,return,71,71,WS 1 (Port 1),(0;2;4),440,520,520.0,30.0 + 20.0 + 30.0
