mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,16,16,(4;2;0),WS 2 (Port 1),30,145,145.0,30.0 + 45.0 + 30.0 + 10.0
2,0,return,16,16,WS 2 (Port 1),(1;0;1),147,227,227.0,30.0 + 20.0 + 30.0
3,1,reshuffle,150,35,(1;4;0),(0;2;4),25,100,100.0,30.0 + 15.0 + 30.0
4,2,target,35,35,(1;4;1),WS 2 (Port 2),55,165,165.0,30.0 + 40.0 + 30.0 + 10.0
5,1,return,35,35,WS 2 (Port 2),(1;0;0),181,261,261.0,30.0 + 20.0 + 30.0
6,2,target,40,40,(1;1;3),WS 2 (Port 1),180,275,275.0,30.0 + 25.0 + 30.0 + 10.0
7,0,return,40,40,WS 2 (Port 1),(0;2;3),277,362,362.0,30.0 + 25.0 + 30.0
8,1,target,56,56,(0;0;0),WS 2 (Port 1),266,351,351.0,30.0 + 15.0 + 30.0 + 10.0
9,1,return,56,56,WS 2 (Port 1),(0;2;2),353,438,438.0,30.0 + 25.0 + 30.0
10,2,target,262,262,(0;0;1),WS 2 (Port 2),296,381,381.0,30.0 + 15.0 + 30.0 + 10.0
11,2,return,262,262,WS 2 (Port 2),(0;0;1),383,458,458.0,30.0 + 15.0 + 30.0
12,0,target,275,275,(0;4;0),WS 2 (Port 1),372,477,477.0,30.0 + 35.0 + 30.0 + 10.0
13,0,return,275,275,WS 2 (Port 1),(0;0;0),479,554,554.0,30.0 + 15.0 + 30.0
14,1,reshuffle,79,282,(2;0;1),(0;2;1),458,538,538.0,30.0 + 20.0 + 30.0
15,2,target,282,282,(2;0;2),WS 2 (Port 1),488,583,583.0,30.0 + 25.0 + 30.0 + 10.0
16,0,return,282,282,WS 2 (Port 1),(0;2;0),589,674,674.0,30.0 + 25.0 + 30.0
17,1,target,301,301,(3;2;2),WS 2 (Port 1),553,663,663.0,30.0 + 40.0 + 30.0 + 10.0
18,1,return,301,301,WS 2 (Port 1),(1;1;3),665,750,750.0,30.0 + 25.0 + 30.0
19,2,target,346,346,(2;8;3),WS 2 (Port 1),638,773,773.0,30.0 + 65.0 + 30.0 + 10.0
20,0,return,346,346,WS 2 (Port 1),(1;1;2),775,860,860.0,30.0 + 25.0 + 30.0
21,1,reshuffle,274,384,(3;8;1),(0;3;2),795,895,895.0,30.0 + 40.0 + 30.0
22,2,target,384,384,(3;8;2),WS 2 (Port 1),833,973,973.0,30.0 + 70.0 + 30.0 + 10.0
23,0,return,384,384,WS 2 (Port 1),(1;1;1),983,1068,1068.0,30.0 + 25.0 + 30.0
