mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,57,57,(4;7;1),WS 1 (Port 1),55,190,190.0,30.0 + 65.0 + 30.0 + 10.0
2,0,return,57,57,WS 1 (Port 1),(1;0;1),198,273,273.0,30.0 + 15.0 + 30.0
3,1,target,59,59,(4;0;6),WS 1 (Port 2),20,120,120.0,30.0 + 30.0 + 30.0 + 10.0
4,1,return,59,59,WS 1 (Port 2),(1;0;0),124,303,303.0,30.0 + 119.0 + 30.0
5,2,target,71,71,(2;10;5),WS 1 (Port 2),60,200,200.0,30.0 + 70.0 + 30.0 + 10.0
6,2,return,71,71,WS 1 (Port 2),(0;2;4),208,288,288.0,30.0 + 20.0 + 30.0
7,0,target,83,83,(2;6;1),WS 1 (Port 1),308,428,428.0,30.0 + 50.0 + 30.0 + 10.0
8,0,return,83,83,WS 1 (Port 1),(0;2;3),436,516,516.0,30.0 + 20.0 + 30.0
9,2,target,87,87,(4;3;0),WS 1 (Port 2),313,428,428.0,30.0 + 45.0 + 30.0 + 10.0
10,1,return,87,87,WS 1 (Port 2),(0;2;2),430,546,546.0,30.0 + 56.0 + 30.0
