mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,13,13,(1;8;1),WS 2 (Port 1),45,175,175.0,30.0 + 60.0 + 30.0 + 10.0
2,0,return,13,13,WS 2 (Port 1),(0;0;7),177,252,252.0,30.0 + 15.0 + 30.0
3,1,target,12,12,(1;9;1),WS 2 (Port 2),50,185,185.0,30.0 + 65.0 + 30.0 + 10.0
4,1,return,12,12,WS 2 (Port 2),(0;0;6),217,292,292.0,30.0 + 15.0 + 30.0
5,2,target,0,0,(5;10;0),WS 2 (Port 1),75,235,235.0,30.0 + 90.0 + 30.0 + 10.0
6,2,return,0,0,WS 2 (Port 1),(0;0;5),251,326,326.0,30.0 + 15.0 + 30.0
7,0,target,158,158,(4;6;1),WS 2 (Port 1),302,437,437.0,30.0 + 65.0 + 30.0 + 10.0
8,0,return,158,158,WS 2 (Port 1),(0;0;4),445,520,520.0,30.0 + 15.0 + 30.0
9,1,target,157,157,(4;7;1),WS 2 (Port 1),347,487,487.0,30.0 + 70.0 + 30.0 + 10.0
10,1,return,157,157,WS 2 (Port 1),(0;0;3),489,564,564.0,30.0 + 15.0 + 30.0
11,2,target,159,159,(4;5;1),WS 2 (Port 2),371,501,501.0,30.0 + 60.0 + 30.0 + 10.0
12,2,return,159,159,WS 2 (Port 2),(0;0;2),503,594,594.0,30.0 + 31.0 + 30.0
