mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,22,22,(2;10;1),WS 2 (Port 1),60,205,205.0,30.0 + 75.0 + 30.0 + 10.0
2,0,return,22,22,WS 2 (Port 1),(0;0;7),269,344,344.0,30.0 + 15.0 + 30.0
3,1,target,23,23,(2;9;1),WS 2 (Port 2),55,195,195.0,30.0 + 70.0 + 30.0 + 10.0
4,1,return,23,23,WS 2 (Port 2),(0;0;6),217,374,374.0,30.0 + 97.0 + 30.0
5,2,reshuffle,32,197,(2;0;1),(0;0;5),10,404,404.0,30.0 + 334.0 + 30.0
6,0,reshuffle,54,197,(2;0;2),(0;0;4),354,434,434.0,30.0 + 20.0 + 30.0
7,1,reshuffle,76,197,(2;0;3),(0;0;3),384,464,464.0,30.0 + 20.0 + 30.0
8,2,reshuffle,98,197,(2;0;4),(0;0;2),414,494,494.0,30.0 + 20.0 + 30.0
9,0,reshuffle,120,197,(2;0;5),(0;0;1),444,524,524.0,30.0 + 20.0 + 30.0
10,1,reshuffle,142,197,(2;0;6),(0;0;0),474,554,554.0,30.0 + 20.0 + 30.0
11,2,target,197,197,(2;0;7),WS 2 (Port 1),504,599,599.0,30.0 + 25.0 + 30.0 + 10.0
12,0,return,197,197,WS 2 (Port 1),(0;1;7),617,697,697.0,30.0 + 20.0 + 30.0
