mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,159,159,(4;5;1),WS 1 (Port 1),45,170,170.0,30.0 + 55.0 + 30.0 + 10.0
2,0,return,159,159,WS 1 (Port 1),(0;0;7),178,248,248.0,30.0 + 10.0 + 30.0
3,1,target,160,160,(4;4;1),WS 1 (Port 2),40,160,160.0,30.0 + 50.0 + 30.0 + 10.0
4,1,return,160,160,WS 1 (Port 2),(0;0;6),168,278,278.0,30.0 + 50.0 + 30.0
5,2,target,161,161,(4;3;1),WS 1 (Port 3),35,150,150.0,30.0 + 45.0 + 30.0 + 10.0
6,2,return,161,161,WS 1 (Port 3),(0;0;5),152,308,308.0,30.0 + 96.0 + 30.0
7,0,target,10,10,(5;0;0),WS 2 (Port 1),273,383,383.0,30.0 + 40.0 + 30.0 + 10.0
8,0,return,10,10,WS 2 (Port 1),(0;0;4),399,474,474.0,30.0 + 15.0 + 30.0
9,1,target,0,0,(5;10;0),WS 1 (Port 1),353,508,508.0,30.0 + 85.0 + 30.0 + 10.0
10,0,return,0,0,WS 1 (Port 1),(0;0;3),516,586,586.0,30.0 + 10.0 + 30.0
11,2,target,157,157,(4;7;1),WS 1 (Port 2),363,498,498.0,30.0 + 65.0 + 30.0 + 10.0
12,1,return,157,157,WS 1 (Port 2),(0;0;2),500,616,616.0,30.0 + 56.0 + 30.0
13,2,target,158,158,(4;6;1),WS 1 (Port 1),548,678,678.0,30.0 + 60.0 + 30.0 + 10.0
14,0,return,158,158,WS 1 (Port 1),(0;0;1),686,756,756.0,30.0 + 10.0 + 30.0
15,1,target,24,24,(2;8;1),WS 2 (Port 1),666,801,801.0,30.0 + 65.0 + 30.0 + 10.0
16,0,return,24,24,WS 2 (Port 1),(0;0;0),807,882,882.0,30.0 + 15.0 + 30.0
