mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,172,172,(2;7;1),WS 1 (Port 1),45,170,170.0,30.0 + 55.0 + 30.0 + 10.0
2,0,return,172,172,WS 1 (Port 1),(1;0;1),172,247,247.0,30.0 + 15.0 + 30.0
3,1,target,183,183,(3;5;2),WS 1 (Port 2),40,160,160.0,30.0 + 50.0 + 30.0 + 10.0
4,1,return,183,183,WS 1 (Port 2),(1;0;0),168,277,277.0,30.0 + 49.0 + 30.0
5,2,target,193,193,(1;5;0),WS 1 (Port 3),30,140,140.0,30.0 + 40.0 + 30.0 + 10.0
6,2,return,193,193,WS 1 (Port 3),(0;2;4),148,228,228.0,30.0 + 20.0 + 30.0
7,2,reshuffle,316,5,(1;7;0),(0;2;3),258,348,348.0,30.0 + 30.0 + 30.0
8,0,target,5,5,(1;7;1),WS 1 (Port 1),288,408,408.0,30.0 + 50.0 + 30.0 + 10.0
9,0,return,5,5,WS 1 (Port 1),(0;2;2),422,502,502.0,30.0 + 20.0 + 30.0
10,1,target,56,56,(0;0;0),WS 1 (Port 2),282,362,362.0,30.0 + 10.0 + 30.0 + 10.0
11,1,return,56,56,WS 1 (Port 2),(0;0;0),370,440,440.0,30.0 + 10.0 + 30.0
12,2,target,134,134,(1;3;5),WS 1 (Port 2),358,458,458.0,30.0 + 30.0 + 30.0 + 10.0
13,1,return,134,134,WS 1 (Port 2),(0;2;1),474,554,554.0,30.0 + 20.0 + 30.0
