mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,27,152,(5;3;0),(0;2;4),40,130,130.0,30.0 + 30.0 + 30.0
2,1,reshuffle,61,152,(5;3;1),(0;2;3),70,160,160.0,30.0 + 30.0 + 30.0
3,2,reshuffle,217,152,(5;3;2),(0;2;2),100,190,190.0,30.0 + 30.0 + 30.0
4,0,reshuffle,17,152,(5;3;3),(0;2;1),160,250,250.0,30.0 + 30.0 + 30.0
5,1,target,152,152,(5;3;4),WS 1 (Port 1),190,310,310.0,30.0 + 50.0 + 30.0 + 10.0
6,0,return,152,152,WS 1 (Port 1),(1;0;1),318,393,393.0,30.0 + 15.0 + 30.0
7,2,reshuffle,308,160,(5;8;2),(0;2;0),245,360,360.0,30.0 + 55.0 + 30.0
8,1,reshuffle,366,160,(5;8;3),(0;3;2),375,485,485.0,30.0 + 50.0 + 30.0
9,2,target,160,160,(5;8;4),WS 1 (Port 1),415,560,560.0,30.0 + 75.0 + 30.0 + 10.0
10,0,return,160,160,WS 1 (Port 1),(1;0;0),564,639,639.0,30.0 + 15.0 + 30.0
11,1,reshuffle,134,164,(1;3;5),(0;3;1),490,555,555.0,30.0 + 5.0 + 30.0
12,1,reshuffle,1,164,(1;3;6),(0;3;0),560,625,625.0,30.0 + 5.0 + 30.0
13,2,target,164,164,(1;3;7),WS 1 (Port 1),590,690,690.0,30.0 + 30.0 + 30.0 + 10.0
14,0,return,164,164,WS 1 (Port 1),(1;1;2),698,778,778.0,30.0 + 20.0 + 30.0
