mission_no,agv_id,mission_type,original_run_id,cmd_id,container_id,related_target_id,src_pos,dst_pos,start_time,end_time,start_s,end_s,makespan,sku_qty,duration_breakdown
46,1,reshuffle,20260203174332,5903,155,243,(0;5;3),(0;9;4),1705364647,1705364727,1447,1527,1527.0,3,30.0 + 20.0 + 30.0
47,2,reshuffle,20260203174332,5903,84,243,(0;5;4),(0;9;3),1705364677,1705364757,1477,1557,1557.0,3,30.0 + 20.0 + 30.0
48,3,target,20260203174332,5903,243,243,(0;5;5),work station 1 (Port 1),1705364707,1705364812,1507,1612,1612.0,3,30.0 + 35.0 + 30.0 + 10.0
49,0,return,20260203174354,5943,243,243,work station 1 (Port 1),(1;1;1),1705364818,1705364898,1618,1698,1698.0,3,30.0 + 20.0 + 30.0
50,4,target,20260203174320,5882,22,22,(5;1;4),work station 1 (Port 2),1705364632,1705364742,1432,1542,1542.0,4,30.0 + 40.0 + 30.0 + 10.0
51,1,return,20260203174613,6234,22,22,work station 1 (Port 2),(1;1;0),1705364782,1705364928,1582,1728,1728.0,4,30.0 + 86.0 + 30.0
52,4,reshuffle,20260203174403,5961,110,94,(3;3;2),(0;5;5),1705364772,1705364857,1572,1657,1657.0,2,30.0 + 25.0 + 30.0
53,2,reshuffle,20260203174403,5961,364,94,(3;3;3),(0;5;4),1705364802,1705364887,1602,1687,1687.0,2,30.0 + 25.0 + 30.0
54,3,reshuffle,20260203174403,5961,129,94,(3;3;4),(0;5;3),1705364842,1705364927,1642,1727,1727.0,2,30.0 + 25.0 + 30.0
55,4,reshuffle,20260203174403,5961,330,94,(3;3;5),(0;5;2),1705364882,1705364967,1682,1767,1767.0,2,30.0 + 25.0 + 30.0
56,2,reshuffle,20260203174403,5961,19,94,(3;3;6),(0;5;1),1705364912,1705364997,1712,1797,1797.0,2,30.0 + 25.0 + 30.0
57,0,target,20260203174403,5961,94,94,(3;3;7),work station 2 (Port 1),1705364942,1705365057,1742,1857,1857.0,2,30.0 + 45.0 + 30.0 + 10.0
58,0,return,20260203174558,6211,94,94,work station 2 (Port 1),(2;0;1),1705365061,1705365146,1861,1946,1946.0,2,30.0 + 25.0 + 30.0
59,1,reshuffle,20260203174513,6106,377,119,(2;4;3),(0;5;0),1705364948,1705365027,1748,1827,1827.0,4,30.0 + 19.0 + 30.0
60,3,target,20260203174513,6106,119,119,(2;4;4),work station 1 (Port 1),1705364978,1705365088,1778,1888,1888.0,4,30.0 + 40.0 + 30.0 + 10.0
61,1,return,20260203174525,6134,119,119,work station 1 (Port 1),(2;0;0),1705365096,1705365176,1896,1976,1976.0,4,30.0 + 20.0 + 30.0
62,4,reshuffle,20260203174317,5876,45,54,(5;2;5),(0;9;2),1705365007,1705365127,1807,1927,1927.0,4,30.0 + 60.0 + 30.0
63,2,reshuffle,20260203174317,5876,245,54,(5;2;6),(0;9;1),1705365037,1705365157,1837,1957,1957.0,4,30.0 + 60.0 + 30.0
64,3,target,20260203174317,5876,54,54,(5;2;7),work station 2 (Port 1),1705365123,1705365243,1923,2043,2043.0,4,30.0 + 50.0 + 30.0 + 10.0
65,0,return,20260203174401,5959,54,54,work station 2 (Port 1),(1;2;3),1705365251,1705365341,2051,2141,2141.0,4,30.0 + 30.0 + 30.0
66,4,reshuffle,20260203174305,5853,3,220,(2;5;2),(0;9;0),1705365157,1705365247,1957,2047,2047.0,4,30.0 + 30.0 + 30.0
67,2,reshuffle,20260203174305,5853,361,220,(2;5;3),(0;10;2),1705365187,1705365282,1987,2082,2082.0,4,30.0 + 35.0 + 30.0
68,1,reshuffle,20260203174305,5853,42,220,(2;5;4),(0;10;1),1705365217,1705365312,2017,2112,2112.0,4,30.0 + 35.0 + 30.0
69,4,reshuffle,20260203174305,5853,11,220,(2;5;5),(0;10;0),1705365277,1705365372,2077,2172,2172.0,4,30.0 + 35.0 + 30.0
70,3,target,20260203174305,5853,220,220,(2;5;6),work station 1 (Port 1),1705365307,1705365422,2107,2222,2222.0,4,30.0 + 45.0 + 30.0 + 10.0
71,0,return,20260203174405,5965,220,220,work station 1 (Port 1),(1;2;2),1705365430,1705365515,2230,2315,2315.0,4,30.0 + 25.0 + 30.0
72,1,reshuffle,20260203174258,5842,316,5,(1;7;0),(1;2;1),1705365332,1705365545,2132,2345,2345.0,4,30.0 + 153.0 + 30.0
73,2,target,20260203174258,5842,5,5,(1;7;1),work station 1 (Port 1),1705365362,1705365482,2162,2282,2282.0,4,30.0 + 50.0 + 30.0 + 10.0
74,2,return,20260203174320,5881,5,5,work station 1 (Port 1),(1;2;0),1705365490,1705365575,2290,2375,2375.0,4,30.0 + 25.0 + 30.0
75,4,target,20260203174512,6102,27,27,(5;3;0),work station 1 (Port 1),1705365432,1705365552,2232,2352,2352.0,4,30.0 + 50.0 + 30.0 + 10.0
76,0,return,20260203174538,6156,27,27,work station 1 (Port 1),(2;1;3),1705365560,1705365645,2360,2445,2445.0,4,30.0 + 25.0 + 30.0
77,3,reshuffle,20260203174347,5932,198,68,(5;4;5),(1;3;4),1705365467,1705365552,2267,2352,2352.0,4,30.0 + 25.0 + 30.0
78,1,reshuffle,20260203174347,5932,72,68,(5;4;6),(1;3;3),1705365575,1705365660,2375,2460,2460.0,4,30.0 + 25.0 + 30.0
79,2,target,20260203174347,5932,68,68,(5;4;7),work station 1 (Port 1),1705365605,1705365730,2405,2530,2530.0,4,30.0 + 55.0 + 30.0 + 10.0
80,0,return,20260203174525,6127,68,68,work station 1 (Port 1),(2;1;2),1705365738,1705365823,2538,2623,2623.0,4,30.0 + 25.0 + 30.0
81,3,reshuffle,20260203174411,5973,172,207,(2;7;1),(1;3;2),1705365577,1705365690,2377,2490,2490.0,3,30.0 + 53.0 + 30.0
82,4,reshuffle,20260203174411,5973,28,207,(2;7;2),(1;3;1),1705365607,1705365720,2407,2520,2520.0,3,30.0 + 53.0 + 30.0
83,1,reshuffle,20260203174411,5973,315,207,(2;7;3),(1;3;0),1705365685,1705365770,2485,2570,2570.0,3,30.0 + 25.0 + 30.0
84,3,reshuffle,20260203174411,5973,86,207,(2;7;4),(1;4;1),1705365715,1705365795,2515,2595,2595.0,3,30.0 + 20.0 + 30.0
85,4,target,20260203174411,5973,207,207,(2;7;5),work station 2 (Port 1),1705365745,1705365875,2545,2675,2675.0,3,30.0 + 60.0 + 30.0 + 10.0
86,0,return,20260203174446,6063,207,207,work station 2 (Port 1),(2;1;1),1705365881,1705365971,2681,2771,2771.0,3,30.0 + 30.0 + 30.0
87,2,reshuffle,20260203174432,6016,327,88,(3;6;0),(1;4;0),1705365775,1705365855,2575,2655,2655.0,2,30.0 + 20.0 + 30.0
88,1,reshuffle,20260203174432,6016,76,88,(3;6;1),(1;6;4),1705365805,1705365875,2605,2675,2675.0,2,30.0 + 10.0 + 30.0
89,3,reshuffle,20260203174432,6016,269,88,(3;6;2),(1;6;3),1705365835,1705365905,2635,2705,2705.0,2,30.0 + 10.0 + 30.0
90,2,reshuffle,20260203174432,6016,168,88,(3;6;3),(1;6;2),1705365875,1705365945,2675,2745,2745.0,2,30.0 + 10.0 + 30.0
91,1,reshuffle,20260203174432,6016,48,88,(3;6;4),(1;6;1),1705365905,1705365975,2705,2775,2775.0,2,30.0 + 10.0 + 30.0
92,3,reshuffle,20260203174432,6016,322,88,(3;6;5),(1;6;0),1705365935,1705366005,2735,2805,2805.0,2,30.0 + 10.0 + 30.0
93,2,reshuffle,20260203174432,6016,2,88,(3;6;6),(1;7;1),1705365965,1705366040,2765,2840,2840.0,2,30.0 + 15.0 + 30.0
94,1,target,20260203174432,6016,88,88,(3;6;7),work station 1 (Port 1),1705365995,1705366120,2795,2920,2920.0,2,30.0 + 55.0 + 30.0 + 10.0
95,0,return,20260203174446,6048,88,88,work station 1 (Port 1),(2;1;0),1705366124,1705366209,2924,3009,3009.0,2,30.0 + 25.0 + 30.0
96,4,reshuffle,20260203174305,5852,374,211,(5;5;2),(1;7;0),1705365930,1705366070,2730,2870,2870.0,4,30.0 + 80.0 + 30.0
97,3,reshuffle,20260203174305,5852,348,211,(5;5;3),(1;8;0),1705366030,1705366125,2830,2925,2925.0,4,30.0 + 35.0 + 30.0
98,2,target,20260203174305,5852,211,211,(5;5;4),work station 1 (Port 1),1705366070,1705366200,2870,3000,3000.0,4,30.0 + 60.0 + 30.0 + 10.0
99,1,return,20260203174710,6336,211,211,work station 1 (Port 1),(3;0;6),1705366208,1705366293,3008,3093,3093.0,4,30.0 + 25.0 + 30.0
100,4,target,20260203174348,5933,71,71,(2;10;5),work station 1 (Port 2),1705366090,1705366230,2890,3030,3030.0,4,30.0 + 70.0 + 30.0 + 10.0
101,0,return,20260203174538,6161,71,71,work station 1 (Port 2),(3;0;5),1705366238,1705366323,3038,3123,3123.0,4,30.0 + 25.0 + 30.0
102,3,reshuffle,20260203174305,5854,279,223,(4;9;0),(2;3;1),1705366145,1705366245,2945,3045,3045.0,4,30.0 + 40.0 + 30.0
103,2,reshuffle,20260203174305,5854,309,223,(4;9;1),(2;3;0),1705366265,1705366365,3065,3165,3165.0,4,30.0 + 40.0 + 30.0
104,3,reshuffle,20260203174305,5854,126,223,(4;9;2),(2;4;4),1705366295,1705366390,3095,3190,3190.0,4,30.0 + 35.0 + 30.0
105,4,reshuffle,20260203174305,5854,222,223,(4;9;3),(2;4;3),1705366325,1705366420,3125,3220,3220.0,4,30.0 + 35.0 + 30.0
106,1,reshuffle,20260203174305,5854,294,223,(4;9;4),(2;4;2),1705366355,1705366450,3155,3250,3250.0,4,30.0 + 35.0 + 30.0
107,0,reshuffle,20260203174305,5854,173,223,(4;9;5),(2;4;1),1705366385,1705366480,3185,3280,3280.0,4,30.0 + 35.0 + 30.0
108,2,target,20260203174305,5854,223,223,(4;9;6),work station 1 (Port 1),1705366415,1705366560,3215,3360,3360.0,4,30.0 + 75.0 + 30.0 + 10.0
109,0,return,20260203174352,5941,223,223,work station 1 (Port 1),(3;0;4),1705366568,1705366653,3368,3453,3453.0,4,30.0 + 25.0 + 30.0
110,3,reshuffle,20260203174308,5858,239,272,(5;10;3),(2;4;0),1705366435,1705366540,3235,3340,3340.0,4,30.0 + 45.0 + 30.0
111,4,reshuffle,20260203174308,5858,50,272,(5;10;4),(2;5;6),1705366465,1705366565,3265,3365,3365.0,4,30.0 + 40.0 + 30.0
112,1,target,20260203174308,5858,272,272,(5;10;5),work station 1 (Port 1),1705366495,1705366650,3295,3450,3450.0,4,30.0 + 85.0 + 30.0 + 10.0
113,1,return,20260203174335,5909,272,272,work station 1 (Port 1),(3;0;3),1705366658,1705366743,3458,3543,3543.0,4,30.0 + 25.0 + 30.0
114,2,reshuffle,20260203174446,6041,140,53,(0;1;0),(2;5;5),1705366565,1705366655,3365,3455,3455.0,4,30.0 + 30.0 + 30.0
115,3,reshuffle,20260203174446,6041,388,53,(0;1;1),(2;5;4),1705366595,1705366685,3395,3485,3485.0,4,30.0 + 30.0 + 30.0
116,4,reshuffle,20260203174446,6041,219,53,(0;1;2),(2;5;3),1705366625,1705366715,3425,3515,3515.0,4,30.0 + 30.0 + 30.0
117,0,reshuffle,20260203174446,6041,313,53,(0;1;3),(2;5;2),1705366673,1705366763,3473,3563,3563.0,4,30.0 + 30.0 + 30.0
118,2,reshuffle,20260203174446,6041,210,53,(0;1;4),(2;5;1),1705366703,1705366793,3503,3593,3593.0,4,30.0 + 30.0 + 30.0
119,3,reshuffle,20260203174446,6041,278,53,(0;1;5),(2;5;0),1705366733,1705366823,3533,3623,3623.0,4,30.0 + 30.0 + 30.0
120,1,reshuffle,20260203174446,6041,393,53,(0;1;6),(2;6;0),1705366763,1705366858,3563,3658,3658.0,4,30.0 + 35.0 + 30.0
121,0,target,20260203174446,6041,53,53,(0;1;7),work station 1 (Port 1),1705366793,1705366878,3593,3678,3678.0,4,30.0 + 15.0 + 30.0 + 10.0
122,0,return,20260203174512,6103,53,53,work station 1 (Port 1),(0;1;7),1705366886,1705366961,3686,3761,3761.0,4,30.0 + 15.0 + 30.0
123,2,reshuffle,20260203174348,5935,11,123,(0;10;0),(0;1;6),1705366828,1705366991,3628,3791,3791.0,2,30.0 + 103.0 + 30.0
