mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,79,211,(1;7;2),(0;0;5),40,140,140.0,30.0 + 40.0 + 30.0
2,1,reshuffle,57,211,(1;7;3),(0;0;4),70,170,170.0,30.0 + 40.0 + 30.0
3,2,reshuffle,26,211,(1;7;4),(0;1;5),100,195,195.0,30.0 + 35.0 + 30.0
4,0,reshuffle,357,211,(1;7;5),(0;1;4),180,275,275.0,30.0 + 35.0 + 30.0
5,1,target,211,211,(1;7;6),WS 1 (Port 1),210,330,330.0,30.0 + 50.0 + 30.0 + 10.0
6,0,return,211,211,WS 1 (Port 1),(0;1;3),334,409,409.0,30.0 + 15.0 + 30.0
7,2,target,57,57,(0;0;4),WS 1 (Port 2),200,280,280.0,30.0 + 10.0 + 30.0 + 10.0
8,2,return,57,57,WS 1 (Port 2),(0;0;4),288,358,358.0,30.0 + 10.0 + 30.0
9,1,target,71,71,(2;10;2),WS 1 (Port 1),390,530,530.0,30.0 + 70.0 + 30.0 + 10.0
10,0,return,71,71,WS 1 (Port 1),(0;0;3),538,608,608.0,30.0 + 10.0 + 30.0
