mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,22,70,(5;1;4),(0;2;4),30,120,120.0,30.0 + 30.0 + 30.0
2,1,reshuffle,138,70,(5;1;5),(0;2;3),60,150,150.0,30.0 + 30.0 + 30.0
3,2,target,70,70,(5;1;6),WS 2 (Port 1),90,205,205.0,30.0 + 45.0 + 30.0 + 10.0
4,0,return,70,70,WS 2 (Port 1),(1;0;1),637,717,717.0,30.0 + 20.0 + 30.0
5,1,reshuffle,214,328,(4;8;2),(0;2;2),200,310,310.0,30.0 + 50.0 + 30.0
6,2,reshuffle,267,328,(4;8;3),(0;2;1),270,380,380.0,30.0 + 50.0 + 30.0
7,1,reshuffle,132,328,(4;8;4),(0;2;0),360,470,470.0,30.0 + 50.0 + 30.0
8,2,reshuffle,340,328,(4;8;5),(0;3;2),430,535,535.0,30.0 + 45.0 + 30.0
9,1,reshuffle,178,328,(4;8;6),(0;3;1),520,625,625.0,30.0 + 45.0 + 30.0
10,2,target,328,328,(4;8;7),WS 2 (Port 1),580,725,725.0,30.0 + 75.0 + 30.0 + 10.0
11,0,return,328,328,WS 2 (Port 1),(1;0;0),893,973,973.0,30.0 + 20.0 + 30.0
12,1,reshuffle,308,366,(5;8;2),(0;3;0),675,785,785.0,30.0 + 50.0 + 30.0
13,2,target,366,366,(5;8;3),WS 2 (Port 1),795,945,945.0,30.0 + 80.0 + 30.0 + 10.0
14,0,return,366,366,WS 2 (Port 1),(1;1;2),1345,1430,1430.0,30.0 + 25.0 + 30.0
