mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,135,135,(5;6;1),WS 2 (Port 1),55,195,195.0,30.0 + 70.0 + 30.0 + 10.0
2,0,return,135,135,WS 2 (Port 1),(1;0;1),199,279,279.0,30.0 + 20.0 + 30.0
3,1,target,273,273,(3;10;0),WS 2 (Port 2),65,215,215.0,30.0 + 80.0 + 30.0 + 10.0
4,1,return,273,273,WS 2 (Port 2),(1;0;0),217,309,309.0,30.0 + 32.0 + 30.0
5,2,target,392,392,(1;10;0),WS 2 (Port 3),55,195,195.0,30.0 + 70.0 + 30.0 + 10.0
6,2,return,392,392,WS 2 (Port 3),(0;2;4),203,288,288.0,30.0 + 25.0 + 30.0
7,0,target,83,83,(2;6;1),WS 2 (Port 1),314,439,439.0,30.0 + 55.0 + 30.0 + 10.0
8,0,return,83,83,WS 2 (Port 1),(0;2;3),441,526,526.0,30.0 + 25.0 + 30.0
9,2,target,52,52,(0;3;3),WS 2 (Port 2),293,393,393.0,30.0 + 30.0 + 30.0 + 10.0
10,1,return,52,52,WS 2 (Port 2),(0;2;2),401,556,556.0,30.0 + 95.0 + 30.0
