mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,24,24,(2;8;1),WS 2 (Port 1),50,185,185.0,30.0 + 65.0 + 30.0 + 10.0
2,0,transfer,24,24,WS 2 (Port 1),WS 1 (Port 1),221,286,286.0,30.0 + 5.0 + 30.0
3,0,return,24,24,WS 1 (Port 1),(0;0;7),332,402,402.0,30.0 + 10.0 + 30.0
4,1,reshuffle,31,75,(2;1;1),(0;0;6),15,432,432.0,30.0 + 357.0 + 30.0
5,2,reshuffle,53,75,(2;1;2),(0;0;5),45,462,462.0,30.0 + 357.0 + 30.0
6,0,target,75,75,(2;1;3),WS 2 (Port 1),417,517,517.0,30.0 + 30.0 + 30.0 + 10.0
7,0,return,75,75,WS 2 (Port 1),(0;0;4),521,596,596.0,30.0 + 15.0 + 30.0
8,1,target,10,10,(5;0;0),WS 1 (Port 1),457,562,562.0,30.0 + 35.0 + 30.0 + 10.0
9,1,return,10,10,WS 1 (Port 1),(0;0;3),582,652,652.0,30.0 + 10.0 + 30.0
