mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,5,5,(5;5;0),WS 2 (Port 1),50,185,185.0,30.0 + 65.0 + 30.0 + 10.0
2,0,return,5,5,WS 2 (Port 1),(0;0;7),201,276,276.0,30.0 + 15.0 + 30.0
3,1,target,1,1,(5;9;0),WS 2 (Port 2),70,225,225.0,30.0 + 85.0 + 30.0 + 10.0
4,1,return,1,1,WS 2 (Port 2),(0;0;6),241,316,316.0,30.0 + 15.0 + 30.0
5,2,target,0,0,(5;10;0),WS 2 (Port 3),75,235,235.0,30.0 + 90.0 + 30.0 + 10.0
6,2,return,0,0,WS 2 (Port 3),(0;0;5),237,346,346.0,30.0 + 49.0 + 30.0
7,0,target,3,3,(5;7;0),WS 2 (Port 1),336,481,481.0,30.0 + 75.0 + 30.0 + 10.0
8,0,return,3,3,WS 2 (Port 1),(0;0;4),497,572,572.0,30.0 + 15.0 + 30.0
9,1,target,8,8,(5;2;0),WS 2 (Port 2),351,471,471.0,30.0 + 50.0 + 30.0 + 10.0
10,1,return,8,8,WS 2 (Port 2),(0;0;3),487,602,602.0,30.0 + 55.0 + 30.0
