mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,45,45,(5;2;5),WS 2 (Port 1),35,155,155.0,30.0 + 50.0 + 30.0 + 10.0
2,0,return,45,45,WS 2 (Port 1),(1;0;1),169,249,249.0,30.0 + 20.0 + 30.0
3,1,target,150,150,(1;4;0),WS 2 (Port 2),25,135,135.0,30.0 + 40.0 + 30.0 + 10.0
4,1,return,150,150,WS 2 (Port 2),(1;0;0),165,279,279.0,30.0 + 54.0 + 30.0
