mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,386,186,(1;2;4),(0;2;4),15,80,80.0,30.0 + 5.0 + 30.0
2,1,target,186,186,(1;2;5),WS 2 (Port 1),45,145,145.0,30.0 + 30.0 + 30.0 + 10.0
3,0,return,186,186,WS 2 (Port 1),(1;0;1),149,229,229.0,30.0 + 20.0 + 30.0
4,2,target,102,102,(2;9;0),WS 2 (Port 1),55,195,195.0,30.0 + 70.0 + 30.0 + 10.0
5,1,return,102,102,WS 2 (Port 1),(1;0;0),197,277,277.0,30.0 + 20.0 + 30.0
6,2,target,36,36,(1;9;0),WS 2 (Port 1),250,385,385.0,30.0 + 65.0 + 30.0 + 10.0
7,0,return,36,36,WS 2 (Port 1),(0;2;3),387,472,472.0,30.0 + 25.0 + 30.0
8,1,target,16,16,(4;2;0),WS 2 (Port 2),302,417,417.0,30.0 + 45.0 + 30.0 + 10.0
9,1,return,16,16,WS 2 (Port 2),(0;2;2),419,504,504.0,30.0 + 25.0 + 30.0
10,2,target,189,189,(0;5;0),WS 2 (Port 1),415,525,525.0,30.0 + 40.0 + 30.0 + 10.0
11,0,return,189,189,WS 2 (Port 1),(0;2;1),527,612,612.0,30.0 + 25.0 + 30.0
