mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,31,119,(2;1;1),(0;0;7),15,90,90.0,30.0 + 15.0 + 30.0
2,1,reshuffle,53,119,(2;1;2),(0;0;6),45,120,120.0,30.0 + 15.0 + 30.0
3,2,reshuffle,75,119,(2;1;3),(0;0;5),75,150,150.0,30.0 + 15.0 + 30.0
4,0,reshuffle,97,119,(2;1;4),(0;0;4),105,180,180.0,30.0 + 15.0 + 30.0
5,1,target,119,119,(2;1;5),WS 1 (Port 1),135,230,230.0,30.0 + 25.0 + 30.0 + 10.0
6,0,return,119,119,WS 1 (Port 1),(0;0;3),234,304,304.0,30.0 + 10.0 + 30.0
7,2,target,158,158,(4;6;1),WS 1 (Port 1),200,330,330.0,30.0 + 60.0 + 30.0 + 10.0
8,0,return,158,158,WS 1 (Port 1),(0;0;2),338,408,408.0,30.0 + 10.0 + 30.0
9,1,target,160,160,(4;4;1),WS 1 (Port 1),270,390,390.0,30.0 + 50.0 + 30.0 + 10.0
10,1,return,160,160,WS 1 (Port 1),(0;0;1),398,468,468.0,30.0 + 10.0 + 30.0
11,2,target,161,161,(4;3;1),WS 1 (Port 1),365,480,480.0,30.0 + 45.0 + 30.0 + 10.0
12,0,return,161,161,WS 1 (Port 1),(0;0;0),488,558,558.0,30.0 + 10.0 + 30.0
13,1,target,162,162,(4;2;1),WS 1 (Port 1),498,608,608.0,30.0 + 40.0 + 30.0 + 10.0
14,0,return,162,162,WS 1 (Port 1),(0;1;7),616,691,691.0,30.0 + 15.0 + 30.0
15,2,target,163,163,(4;1;1),WS 1 (Port 2),505,610,610.0,30.0 + 35.0 + 30.0 + 10.0
16,1,return,163,163,WS 1 (Port 2),(0;1;6),618,721,721.0,30.0 + 43.0 + 30.0
17,2,target,164,164,(4;0;1),WS 1 (Port 1),630,730,730.0,30.0 + 30.0 + 30.0 + 10.0
18,0,return,164,164,WS 1 (Port 1),(0;1;5),738,813,813.0,30.0 + 15.0 + 30.0
