mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,274,384,(3;8;1),(0;2;4),55,160,160.0,30.0 + 45.0 + 30.0
2,1,target,384,384,(3;8;2),WS 2 (Port 1),85,225,225.0,30.0 + 70.0 + 30.0 + 10.0
3,0,return,384,384,WS 2 (Port 1),(1;0;1),227,307,307.0,30.0 + 20.0 + 30.0
4,2,target,255,255,(0;1;0),WS 2 (Port 2),5,95,95.0,30.0 + 20.0 + 30.0 + 10.0
5,1,return,255,255,WS 2 (Port 2),(1;0;0),215,337,337.0,30.0 + 62.0 + 30.0
6,2,target,239,239,(5;10;3),WS 2 (Port 1),175,335,335.0,30.0 + 90.0 + 30.0 + 10.0
7,0,return,239,239,WS 2 (Port 1),(0;2;3),343,428,428.0,30.0 + 25.0 + 30.0
8,1,target,135,135,(5;6;1),WS 2 (Port 1),387,527,527.0,30.0 + 70.0 + 30.0 + 10.0
9,0,return,135,135,WS 2 (Port 1),(0;2;2),533,618,618.0,30.0 + 25.0 + 30.0
10,2,target,388,388,(0;1;1),WS 2 (Port 2),345,435,435.0,30.0 + 20.0 + 30.0 + 10.0
11,2,return,388,388,WS 2 (Port 2),(0;1;1),441,521,521.0,30.0 + 20.0 + 30.0
