cmd_id,cmd_type,source_position,dest_position,parent_carrier_id,create_user,create_time,batch_run_id,order_scenario,inv_scenario,selection_algo_ver,selection_run_id,batch_time_window,batch_algo_ver
5874,target,0000000501,0,C00202,Algorithm_Experiment,2026-02-03 17:43:12.408791,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174312,10,
5875,target,0000300202,0,C00301,Algorithm_Experiment,2026-02-03 17:43:12.408791,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174312,10,
5876,target,0000500207,1,C00054,Algorithm_Experiment,2026-02-03 17:43:17.123484,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174317,10,
5877,target,0000000000,1,C00056,Algorithm_Experiment,2026-02-03 17:43:17.123484,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174317,10,
5878,target,0000300202,1,C00301,Algorithm_Experiment,2026-02-03 17:43:17.123484,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174317,10,
5879,target,0000500506,0,C00091,Algorithm_Experiment,2026-02-03 17:43:18.790969,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174318,10,
5880,target,0000401001,0,C00114,Algorithm_Experiment,2026-02-03 17:43:18.790969,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174318,10,
5881,target,0000100701,1,C00005,Algorithm_Experiment,2026-02-03 17:43:20.109807,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174320,10,
5882,target,0000500104,1,C00022,Algorithm_Experiment,2026-02-03 17:43:20.109807,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174320,10,
5883,target,0000100401,1,C00035,Algorithm_Experiment,2026-02-03 17:43:20.109807,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174320,10,
5884,target,0000200006,0,C00065,Algorithm_Experiment,2026-02-03 17:43:21.766659,20260129162143,large_uni,2x2_slot_random_place_random,greedy_ver1,20260203174321,10,
