mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,302,302,(0;2;5),WS 2 (Port 1),10,105,105.0,30.0 + 25.0 + 30.0 + 10.0
2,0,return,302,302,WS 2 (Port 1),(1;0;1),113,193,193.0,30.0 + 20.0 + 30.0
3,1,target,52,52,(0;3;3),WS 2 (Port 2),15,115,115.0,30.0 + 30.0 + 30.0 + 10.0
4,1,return,52,52,WS 2 (Port 2),(1;0;0),123,223,223.0,30.0 + 40.0 + 30.0
5,2,target,71,71,(2;10;5),WS 2 (Port 1),60,205,205.0,30.0 + 75.0 + 30.0 + 10.0
6,0,return,71,71,WS 2 (Port 1),(0;2;5),213,298,298.0,30.0 + 25.0 + 30.0
7,2,target,198,198,(5;4;5),WS 2 (Port 1),255,385,385.0,30.0 + 60.0 + 30.0 + 10.0
8,0,return,198,198,WS 2 (Port 1),(0;2;4),389,474,474.0,30.0 + 25.0 + 30.0
9,1,target,392,392,(1;10;0),WS 2 (Port 2),273,413,413.0,30.0 + 70.0 + 30.0 + 10.0
10,1,return,392,392,WS 2 (Port 2),(0;2;3),421,506,506.0,30.0 + 25.0 + 30.0
