mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,160,160,(4;4;1),WS 1 (Port 1),40,160,160.0,30.0 + 50.0 + 30.0 + 10.0
2,0,return,160,160,WS 1 (Port 1),(0;0;7),162,232,232.0,30.0 + 10.0 + 30.0
3,1,target,20,20,(1;1;1),WS 2 (Port 1),10,105,105.0,30.0 + 25.0 + 30.0 + 10.0
4,1,return,20,20,WS 2 (Port 1),(0;0;6),119,262,262.0,30.0 + 83.0 + 30.0
5,2,target,10,10,(5;0;0),WS 2 (Port 2),25,135,135.0,30.0 + 40.0 + 30.0 + 10.0
6,2,return,10,10,WS 2 (Port 2),(0;0;5),141,292,292.0,30.0 + 91.0 + 30.0
7,0,target,157,157,(4;7;1),WS 1 (Port 1),287,422,422.0,30.0 + 65.0 + 30.0 + 10.0
8,0,return,157,157,WS 1 (Port 1),(0;0;4),424,494,494.0,30.0 + 10.0 + 30.0
9,1,target,158,158,(4;6;1),WS 1 (Port 2),312,442,442.0,30.0 + 60.0 + 30.0 + 10.0
10,1,return,158,158,WS 1 (Port 2),(0;0;3),450,524,524.0,30.0 + 14.0 + 30.0
11,2,target,159,159,(4;5;1),WS 1 (Port 3),337,462,462.0,30.0 + 55.0 + 30.0 + 10.0
12,2,return,159,159,WS 1 (Port 3),(0;0;2),470,554,554.0,30.0 + 24.0 + 30.0
