mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,378,119,(5;6;0),(0;0;5),55,170,170.0,30.0 + 55.0 + 30.0
2,1,reshuffle,221,119,(5;6;1),(0;0;4),85,200,200.0,30.0 + 55.0 + 30.0
3,2,reshuffle,166,119,(5;6;2),(0;0;3),115,230,230.0,30.0 + 55.0 + 30.0
4,0,reshuffle,152,119,(5;6;3),(0;0;2),225,340,340.0,30.0 + 55.0 + 30.0
5,1,target,119,119,(5;6;4),WS 1 (Port 1),255,390,390.0,30.0 + 65.0 + 30.0 + 10.0
6,0,return,119,119,WS 1 (Port 1),(0;0;1),410,480,480.0,30.0 + 10.0 + 30.0
7,2,target,37,37,(3;9;1),WS 2 (Port 1),290,435,435.0,30.0 + 75.0 + 30.0 + 10.0
8,1,return,37,37,WS 2 (Port 1),(0;0;0),443,518,518.0,30.0 + 15.0 + 30.0
9,2,target,33,33,(3;5;1),WS 2 (Port 1),480,605,605.0,30.0 + 55.0 + 30.0 + 10.0
10,0,return,33,33,WS 2 (Port 1),(0;1;5),609,689,689.0,30.0 + 20.0 + 30.0
11,1,target,34,34,(3;6;1),WS 2 (Port 1),563,693,693.0,30.0 + 60.0 + 30.0 + 10.0
12,1,return,34,34,WS 2 (Port 1),(0;1;4),701,781,781.0,30.0 + 20.0 + 30.0
13,2,target,35,35,(3;7;1),WS 2 (Port 1),660,795,795.0,30.0 + 65.0 + 30.0 + 10.0
14,0,return,35,35,WS 2 (Port 1),(0;1;3),803,883,883.0,30.0 + 20.0 + 30.0
15,1,target,36,36,(3;8;1),WS 2 (Port 1),831,971,971.0,30.0 + 70.0 + 30.0 + 10.0
16,0,return,36,36,WS 2 (Port 1),(0;1;2),979,1059,1059.0,30.0 + 20.0 + 30.0
17,2,target,38,38,(3;10;1),WS 2 (Port 2),865,1015,1015.0,30.0 + 80.0 + 30.0 + 10.0
18,1,return,38,38,WS 2 (Port 2),(0;1;1),1019,1099,1099.0,30.0 + 20.0 + 30.0
