mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,193,58,(1;5;0),(0;2;4),30,110,110.0,30.0 + 20.0 + 30.0
2,1,target,58,58,(1;5;1),WS 1 (Port 1),60,170,170.0,30.0 + 40.0 + 30.0 + 10.0
3,0,return,58,58,WS 1 (Port 1),(1;0;1),174,249,249.0,30.0 + 15.0 + 30.0
4,2,target,23,23,(4;5;0),WS 1 (Port 2),45,170,170.0,30.0 + 55.0 + 30.0 + 10.0
5,1,return,23,23,WS 1 (Port 2),(1;0;0),176,279,279.0,30.0 + 43.0 + 30.0
6,2,target,16,16,(4;2;0),WS 1 (Port 1),200,310,310.0,30.0 + 40.0 + 30.0 + 10.0
7,0,return,16,16,WS 1 (Port 1),(0;2;3),316,396,396.0,30.0 + 20.0 + 30.0
8,1,target,79,79,(2;0;1),WS 1 (Port 1),284,374,374.0,30.0 + 20.0 + 30.0 + 10.0
9,1,return,79,79,WS 1 (Port 1),(0;2;2),378,458,458.0,30.0 + 20.0 + 30.0
10,2,target,59,59,(4;0;6),WS 1 (Port 1),330,430,430.0,30.0 + 30.0 + 30.0 + 10.0
11,0,return,59,59,WS 1 (Port 1),(0;2;1),438,518,518.0,30.0 + 20.0 + 30.0
