mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,12,12,(1;9;1),WS 2 (Port 1),50,185,185.0,30.0 + 65.0 + 30.0 + 10.0
2,0,return,12,12,WS 2 (Port 1),(0;0;7),211,286,286.0,30.0 + 15.0 + 30.0
3,1,target,1,1,(5;9;0),WS 1 (Port 1),70,220,220.0,30.0 + 80.0 + 30.0 + 10.0
4,1,return,1,1,WS 1 (Port 1),(0;0;6),228,316,316.0,30.0 + 28.0 + 30.0
5,2,target,21,21,(1;0;1),WS 1 (Port 2),5,90,90.0,30.0 + 15.0 + 30.0 + 10.0
6,2,return,21,21,WS 1 (Port 2),(0;0;5),92,346,346.0,30.0 + 194.0 + 30.0
7,0,target,5,5,(5;5;0),WS 1 (Port 1),336,466,466.0,30.0 + 60.0 + 30.0 + 10.0
8,0,return,5,5,WS 1 (Port 1),(0;0;4),474,544,544.0,30.0 + 10.0 + 30.0
9,1,target,6,6,(5;4;0),WS 1 (Port 2),361,486,486.0,30.0 + 55.0 + 30.0 + 10.0
10,1,return,6,6,WS 1 (Port 2),(0;0;3),488,574,574.0,30.0 + 26.0 + 30.0
11,2,target,7,7,(5;3;0),WS 1 (Port 3),386,506,506.0,30.0 + 50.0 + 30.0 + 10.0
12,2,return,7,7,WS 1 (Port 3),(0;0;2),508,604,604.0,30.0 + 36.0 + 30.0
13,0,target,16,16,(1;5;1),WS 1 (Port 1),574,684,684.0,30.0 + 40.0 + 30.0 + 10.0
14,0,return,16,16,WS 1 (Port 1),(0;0;1),686,756,756.0,30.0 + 10.0 + 30.0
