mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,134,134,(1;3;5),WS 1 (Port 1),20,120,120.0,30.0 + 30.0 + 30.0 + 10.0
2,0,return,134,134,WS 1 (Port 1),(1;0;1),132,207,207.0,30.0 + 15.0 + 30.0
3,1,target,198,198,(5;4;5),WS 1 (Port 2),45,170,170.0,30.0 + 55.0 + 30.0 + 10.0
4,1,return,198,198,WS 1 (Port 2),(1;0;0),186,261,261.0,30.0 + 15.0 + 30.0
5,2,target,36,36,(1;9;0),WS 1 (Port 1),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
6,2,return,36,36,WS 1 (Port 1),(0;2;4),188,268,268.0,30.0 + 20.0 + 30.0
7,0,target,40,40,(1;1;3),WS 1 (Port 1),212,302,302.0,30.0 + 20.0 + 30.0 + 10.0
8,0,return,40,40,WS 1 (Port 1),(0;2;3),310,390,390.0,30.0 + 20.0 + 30.0
9,1,target,44,44,(2;1;2),WS 1 (Port 1),271,366,366.0,30.0 + 25.0 + 30.0 + 10.0
10,1,return,44,44,WS 1 (Port 1),(0;2;2),374,454,454.0,30.0 + 20.0 + 30.0
11,2,target,47,47,(1;6;5),WS 1 (Port 2),293,408,408.0,30.0 + 45.0 + 30.0 + 10.0
12,0,return,47,47,WS 1 (Port 2),(0;2;1),414,494,494.0,30.0 + 20.0 + 30.0
