mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,37,111,(3;9;1),(0;0;5),60,180,180.0,30.0 + 60.0 + 30.0
2,1,reshuffle,6,111,(3;9;2),(0;0;4),90,210,210.0,30.0 + 60.0 + 30.0
3,2,reshuffle,337,111,(3;9;3),(0;0;3),120,240,240.0,30.0 + 60.0 + 30.0
4,0,reshuffle,191,111,(3;9;4),(0;0;2),240,360,360.0,30.0 + 60.0 + 30.0
5,1,reshuffle,144,111,(3;9;5),(0;0;1),270,390,390.0,30.0 + 60.0 + 30.0
6,2,target,111,111,(3;9;6),WS 2 (Port 1),300,445,445.0,30.0 + 75.0 + 30.0 + 10.0
7,0,return,111,111,WS 2 (Port 1),(0;0;0),465,540,540.0,30.0 + 15.0 + 30.0
8,1,reshuffle,395,103,(3;1;1),(0;1;5),410,485,485.0,30.0 + 15.0 + 30.0
9,2,reshuffle,329,103,(3;1;2),(0;1;4),470,545,545.0,30.0 + 15.0 + 30.0
10,1,reshuffle,238,103,(3;1;3),(0;1;3),500,575,575.0,30.0 + 15.0 + 30.0
11,0,reshuffle,183,103,(3;1;4),(0;1;2),560,635,635.0,30.0 + 15.0 + 30.0
12,1,reshuffle,136,103,(3;1;5),(0;1;1),590,665,665.0,30.0 + 15.0 + 30.0
13,2,target,103,103,(3;1;6),WS 2 (Port 1),620,725,725.0,30.0 + 35.0 + 30.0 + 10.0
14,0,return,103,103,WS 2 (Port 1),(0;1;0),735,815,815.0,30.0 + 20.0 + 30.0
15,1,target,79,79,(1;7;2),WS 2 (Port 1),700,825,825.0,30.0 + 55.0 + 30.0 + 10.0
16,1,return,79,79,WS 2 (Port 1),(1;0;1),827,907,907.0,30.0 + 20.0 + 30.0
17,2,reshuffle,76,23,(1;4;2),(0;2;5),755,830,830.0,30.0 + 15.0 + 30.0
18,0,reshuffle,54,23,(1;4;3),(0;2;4),835,910,910.0,30.0 + 15.0 + 30.0
19,2,target,23,23,(1;4;4),WS 2 (Port 1),865,975,975.0,30.0 + 40.0 + 30.0 + 10.0
20,0,return,23,23,WS 2 (Port 1),(1;0;0),989,1069,1069.0,30.0 + 20.0 + 30.0
21,1,reshuffle,66,13,(2;5;2),(0;2;3),937,1022,1022.0,30.0 + 25.0 + 30.0
22,2,reshuffle,44,13,(2;5;3),(0;2;2),1015,1100,1100.0,30.0 + 25.0 + 30.0
23,1,target,13,13,(2;5;4),WS 2 (Port 1),1047,1167,1167.0,30.0 + 50.0 + 30.0 + 10.0
24,0,return,13,13,WS 2 (Port 1),(0;2;1),1171,1256,1256.0,30.0 + 25.0 + 30.0
