mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,128,128,(3;4;4),WS 2 (Port 1),35,155,155.0,30.0 + 50.0 + 30.0 + 10.0
2,0,return,128,128,WS 2 (Port 1),(1;0;1),177,257,257.0,30.0 + 20.0 + 30.0
3,1,target,13,13,(3;0;0),WS 1 (Port 1),15,110,110.0,30.0 + 25.0 + 30.0 + 10.0
4,1,return,13,13,WS 1 (Port 1),(1;0;0),142,287,287.0,30.0 + 85.0 + 30.0
5,2,target,16,16,(4;2;0),WS 1 (Port 2),30,140,140.0,30.0 + 40.0 + 30.0 + 10.0
6,2,return,16,16,WS 1 (Port 2),(0;2;4),146,226,226.0,30.0 + 20.0 + 30.0
7,2,target,110,110,(3;3;2),WS 2 (Port 1),246,361,361.0,30.0 + 45.0 + 30.0 + 10.0
8,0,return,110,110,WS 2 (Port 1),(0;2;3),385,470,470.0,30.0 + 25.0 + 30.0
9,1,target,112,112,(3;9;0),WS 2 (Port 1),342,487,487.0,30.0 + 75.0 + 30.0 + 10.0
10,0,return,112,112,WS 2 (Port 1),(0;2;2),511,596,596.0,30.0 + 25.0 + 30.0
11,2,target,114,114,(4;10;1),WS 2 (Port 1),436,591,591.0,30.0 + 85.0 + 30.0 + 10.0
12,1,return,114,114,WS 2 (Port 1),(0;2;1),609,694,694.0,30.0 + 25.0 + 30.0
