mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,174,174,(2;3;2),WS 1 (Port 1),25,130,130.0,30.0 + 35.0 + 30.0 + 10.0
2,0,return,174,174,WS 1 (Port 1),(1;0;1),138,213,213.0,30.0 + 15.0 + 30.0
3,1,target,44,44,(2;1;2),WS 1 (Port 2),15,110,110.0,30.0 + 25.0 + 30.0 + 10.0
4,1,return,44,44,WS 1 (Port 2),(1;0;0),118,243,243.0,30.0 + 65.0 + 30.0
5,2,target,36,36,(1;9;0),WS 1 (Port 1),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
6,2,return,36,36,WS 1 (Port 1),(0;2;4),188,268,268.0,30.0 + 20.0 + 30.0
7,0,target,45,45,(5;2;5),WS 1 (Port 1),243,358,358.0,30.0 + 45.0 + 30.0 + 10.0
8,0,return,45,45,WS 1 (Port 1),(0;2;3),366,446,446.0,30.0 + 20.0 + 30.0
9,1,target,46,46,(5;9;4),WS 1 (Port 1),308,458,458.0,30.0 + 80.0 + 30.0 + 10.0
10,0,return,46,46,WS 1 (Port 1),(0;2;2),466,546,546.0,30.0 + 20.0 + 30.0
11,2,target,79,79,(2;0;1),WS 1 (Port 2),288,378,378.0,30.0 + 20.0 + 30.0 + 10.0
12,1,return,79,79,WS 1 (Port 2),(0;2;1),448,576,576.0,30.0 + 68.0 + 30.0
