Combo_Name,Selection_Run_ID,Number_of_Tasks,Makespan,CPU_Time
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165021,34,1708.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165032,5,293.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165036,3,205.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165039,4,311.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165043,4,283.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165046,5,279.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165050,6,307.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165052,35,2101.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165104,10,504.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165110,3,227.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165113,6,303.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165117,3,293.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165119,14,598.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165123,5,303.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165127,27,1457.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165137,18,860.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165142,3,277.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165145,9,480.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165150,3,225.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165153,13,510.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165155,7,431.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165159,6,365.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165203,7,413.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165208,2,275.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165210,3,221.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165214,17,735.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165222,3,217.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165223,14,748.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165228,5,207.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165231,5,241.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165235,14,828.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165241,4,239.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165244,3,225.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165248,4,269.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165251,9,548.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165254,7,251.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165259,5,213.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165303,16,808.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165313,35,1555.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165327,5,307.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165331,6,204.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165335,4,211.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165339,6,499.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165342,5,313.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165346,3,215.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165349,4,211.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165352,7,389.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165356,16,696.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165358,7,361.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165402,11,682.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165409,5,229.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165412,4,223.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165416,2,169.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165418,18,812.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165427,34,1661.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165441,5,243.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165445,3,221.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165448,4,293.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165451,4,223.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165454,2,169.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165456,9,459.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165459,6,183.0,0.0
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165503,3,265.0,0.015625
2x2_slot_random_place_random_1_grasp_ver3_grasp_ver3,20260312165506,33,1568.0,0.0
