mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,189,189,(0;5;0),WS 1 (Port 1),25,130,130.0,30.0 + 35.0 + 30.0 + 10.0
2,0,return,189,189,WS 1 (Port 1),(1;0;1),132,207,207.0,30.0 + 15.0 + 30.0
3,1,target,255,255,(0;1;0),WS 2 (Port 1),5,95,95.0,30.0 + 20.0 + 30.0 + 10.0
4,1,return,255,255,WS 2 (Port 1),(1;0;0),99,237,237.0,30.0 + 78.0 + 30.0
5,2,target,135,135,(5;6;1),WS 2 (Port 1),55,195,195.0,30.0 + 70.0 + 30.0 + 10.0
6,2,return,135,135,WS 2 (Port 1),(0;2;4),203,288,288.0,30.0 + 25.0 + 30.0
7,0,target,388,388,(0;1;1),WS 2 (Port 1),217,307,307.0,30.0 + 20.0 + 30.0 + 10.0
8,0,return,388,388,WS 2 (Port 1),(0;1;1),315,395,395.0,30.0 + 20.0 + 30.0
9,1,target,116,116,(5;6;2),WS 1 (Port 1),287,422,422.0,30.0 + 65.0 + 30.0 + 10.0
10,0,return,116,116,WS 1 (Port 1),(0;1;0),784,859,859.0,30.0 + 15.0 + 30.0
