mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,239,239,(5;10;3),WS 2 (Port 1),75,235,235.0,30.0 + 90.0 + 30.0 + 10.0
2,0,return,239,239,WS 2 (Port 1),(1;0;1),243,323,323.0,30.0 + 20.0 + 30.0
3,1,target,255,255,(0;1;0),WS 2 (Port 2),5,95,95.0,30.0 + 20.0 + 30.0 + 10.0
4,1,return,255,255,WS 2 (Port 2),(0;1;0),103,183,183.0,30.0 + 20.0 + 30.0
5,2,target,286,286,(0;9;5),WS 2 (Port 2),45,175,175.0,30.0 + 60.0 + 30.0 + 10.0
6,1,return,286,286,WS 2 (Port 2),(1;0;0),203,353,353.0,30.0 + 90.0 + 30.0
7,2,reshuffle,150,35,(1;4;0),(0;2;4),205,280,280.0,30.0 + 15.0 + 30.0
8,2,target,35,35,(1;4;1),WS 2 (Port 1),295,405,405.0,30.0 + 40.0 + 30.0 + 10.0
9,0,return,35,35,WS 2 (Port 1),(0;2;3),421,506,506.0,30.0 + 25.0 + 30.0
