mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,52,52,(0;3;3),WS 1 (Port 1),15,110,110.0,30.0 + 25.0 + 30.0 + 10.0
2,0,return,52,52,WS 1 (Port 1),(1;0;1),116,191,191.0,30.0 + 15.0 + 30.0
3,1,target,392,392,(1;10;0),WS 1 (Port 1),55,190,190.0,30.0 + 65.0 + 30.0 + 10.0
4,1,return,392,392,WS 1 (Port 1),(1;0;0),198,273,273.0,30.0 + 15.0 + 30.0
5,2,reshuffle,302,8,(0;2;5),(0;3;3),10,75,75.0,30.0 + 5.0 + 30.0
6,2,target,8,8,(0;2;6),WS 1 (Port 2),80,170,170.0,30.0 + 20.0 + 30.0 + 10.0
7,2,return,8,8,WS 1 (Port 2),(0;2;6),178,258,258.0,30.0 + 20.0 + 30.0
8,0,reshuffle,150,24,(1;4;0),(0;2;5),211,288,288.0,30.0 + 17.0 + 30.0
9,2,reshuffle,35,24,(1;4;1),(0;2;4),273,348,348.0,30.0 + 15.0 + 30.0
10,0,target,24,24,(1;4;2),WS 1 (Port 1),303,408,408.0,30.0 + 35.0 + 30.0 + 10.0
11,0,return,24,24,WS 1 (Port 1),(0;2;3),414,494,494.0,30.0 + 20.0 + 30.0
